Refid, Authors, Title, Linked Refid, Linked Authors, Linked Title,Linked Reason
12,"Walsh, E., H., McMahon, J., Herring, M., P.",Research Review: The effect of school-based suicide prevention on suicidal ideation and suicide attempts and the role of intervention and contextual factors among adolescents: a meta-analysis and meta-regression,6187,"Walsh, Eibhlin","Rethinking post-primary school-based suicide prevention: understanding intrvention effectiveness, implementation requirements and youth voice",Chapter 2 of 6187 appears to be the same project as refid 12
71,"Wyman, PA, Cero, IJ, Espelage, DL, Reif, T, Mintz, S, LoMurray, S, Nickodem, K, Schmeelk-Cone, KH, Delgado, A",RCT of Sources of Strength Testing Impact on Suicide Attempts and Tests of Moderation by Sexual Violence Victimization and Perpetration.,8695,"Espelage, Dorothy L.; Kuehl, Tomei; Wyman, Peter A.; Nickodem, Kyle; Mintz, Sasha; Valido, Alberto; Robinson, Luz E.; Merrin, Gabriel J.; Hoagland, Kirstin; Schmeelk-Cone, Karen; LoMurray, Scott; Woolweaver, Ashley B; Ingram, Katherine M.; Rulison, Kelly",An RCT of Sources of Strength High School Primary Prevention Program on Sexual Violence Perpetration and Victimization and Dismissiveness of Sexual Harassment,Same study
71,"Wyman, PA, Cero, IJ, Espelage, DL, Reif, T, Mintz, S, LoMurray, S, Nickodem, K, Schmeelk-Cone, KH, Delgado, A",RCT of Sources of Strength Testing Impact on Suicide Attempts and Tests of Moderation by Sexual Violence Victimization and Perpetration.,8694,"Aguilar, Tatiana; Espelage, Dorothy L.; Valido, Alberto; Woolweaver, Ashley B.; Drescher, Anne; Plyler, Victoria; Rader, Maddie Rose; Bai, Jin; Wyman, Peter A.; Kuehl, Tomei; Mintz, Sasha; LoMurray, Scott",Lessons Learned from Implementing Sources of Strength: A Qualitative Examination of a Peer-Led Suicide Prevention Program,Same study
590,"Baggio, S, Nsingi, N, Kanani, A, Bourqui, L, Graglia, M, Thélin, R",Evaluation of a brief universal suicide prevention programme in young people: a cluster-controlled trial in Swiss schools.,220,"Baggio, S, Sapin, M, Nsingi, N, Kanani, A, Thelin, R",Suicide awareness homophily in adolescent peer support networks: A Swiss cross-sectional social network analysis.,Same study
724,"Calear, AL, McCallum, SM, Christensen, H, Mackinnon, AJ, Nicolopoulos, A, Brewer, JL, Werner-Seidler, A, Morse, AR, Kazan, D, Farrer, LM, Kampel, L, Batterham, PJ",The Sources of Strength Australia project: A cluster randomised controlled trial of a peer-connectedness school-based program to promote help-seeking in adolescents.,6435,,The Sources of Strength Australia Project: a randomised controlled trial investigating the effect of the Sources of Strength program on help-seeking for suicidality in adolescents                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,6435 is the clinical trial registry
724,"Calear, AL, McCallum, SM, Christensen, H, Mackinnon, AJ, Nicolopoulos, A, Brewer, JL, Werner-Seidler, A, Morse, AR, Kazan, D, Farrer, LM, Kampel, L, Batterham, PJ",The Sources of Strength Australia project: A cluster randomised controlled trial of a peer-connectedness school-based program to promote help-seeking in adolescents.,1712,"Calear, AL, Brewer, JL, Batterham, PJ, Mackinnon, A, Wyman, PA, LoMurray, M, Shand, F, Kazan, D, Christensen, H",The Sources of Strength Australia Project: study protocol for a cluster randomised controlled trial.,1712 is the protocol 
724,"Calear, AL, McCallum, SM, Christensen, H, Mackinnon, AJ, Nicolopoulos, A, Brewer, JL, Werner-Seidler, A, Morse, AR, Kazan, D, Farrer, LM, Kampel, L, Batterham, PJ",The Sources of Strength Australia project: A cluster randomised controlled trial of a peer-connectedness school-based program to promote help-seeking in adolescents.,483,"Busby Grant, J, Batterham, PJ, McCallum, SM, Werner-Seidler, A, Calear, AL",Specific anxiety and depression symptoms are risk factors for the onset of suicidal ideation and suicide attempts in youth.,"Same study, 483 is 18-mo follow up"
962,"Tighe, J, Shand, F, McKay, K, Mcalister, TJ, Mackinnon, A, Christensen, H",Usage and Acceptability of the iBobbly App: Pilot Trial for Suicide Prevention in Aboriginal and Torres Strait Islander Youth.,1651,"Tighe, J, Shand, F, Ridani, R, Mackinnon, A, De La Mata, N, Christensen, H",Ibobbly mobile health intervention for suicide prevention in Australian Indigenous youth: a pilot randomised controlled trial.,Same study
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",1838,"Kahn, JP, Tubiana, A, Cohen, RF, Carli, V, Wasserman, C, Hoven, C, Sarchiapone, M, Wasserman, D",Important Variables When Screening for Students at Suicidal Risk: Findings from the French Cohort of the SEYLE Study.,1838 is French cohort from 1930 and cites 2 other SEYLE papers as the same
1930,"Wasserman, D, Hoven, CW, Wasserman, C, Wall, M, Eisenberg, R, Hadlaczky, G, Kelleher, I, Sarchiapone, M, Apter, A, Balazs, J, Bobes, J, Brunner, R, Corcoran, P, Cosman, D, Guillemin, F, Haring, C, Iosue, M, Kaess, M, Kahn, JP, Keeley, H, Musa, GJ, Nemes, B, Postuvan, V, Saiz, P, Reiter-Theil, S, Varnik, A, Varnik, P, Carli, V","School-based suicide prevention programmes: the SEYLE cluster-randomised, controlled trial.",7253,"Kahn, Jean-Pierre; Cohen, Renaud; Tubiana, Alexandra; Legrand, Karine; Wasserman, Camilla; Carli, Vladimir; Apter, Alan; Balazs, Judit; Banzer, Raphaele; Baralla, Francesca; Barzilai, Shira; Bobes, Julio; Brunner, Romuald; Corcoran, Paul; Cosman, Doina; Guillemin, Francis; Haring, Christian; Kaess, Michael; Bitenc, Urša Mars; Mészàros, Gergley; McMahon, Elaine M.; Postuvan, Vita; Saiz, Pilar A.; Värnik, Airi; Värnik, Peeter; Sarchiapone, Marco; Hoven, Christina W.; Wasserman, Danuta",Influence of coping strategies on the efficacy of YAM (Youth Aware of Mental Health): a universal school-based suicide preventive program,7253 analyzes at least 1 arm of SEYLE
